id;finsat;objfinlit;subfinlit;optfinbeh;finatt;finlitindex;recfined;age18;age24;age44;age64;female;education;married;children;income_high;income_low;country
256;5;8;7;2,5;4;14,5;1;0;0;1;0;0;1;0;0;0;0;0
257;7;6;7;7,5;6;19,5;0;0;0;1;0;1;0;0;0;1;0;0
258;3;6;8;5;8;19;1;0;1;0;0;1;1;0;0;0;0;0
259;8;8;9;7,5;10;25,5;1;1;0;0;0;0;1;0;0;0;0;0
260;2;6;3;2,5;1;9,5;0;0;1;0;0;0;0;0;0;0;1;0
261;3;6;5;7,5;10;23,5;0;0;0;0;1;1;1;0;1;0;0;0
262;3;6;4;5;1;12;1;0;0;1;0;0;0;0;0;0;1;0
263;7;8;6;7,5;10;25,5;0;0;0;1;0;1;0;0;0;0;0;0
264;6;6;6;10;5;21;1;0;1;0;0;1;0;0;0;0;0;0
265;5;6;5;7,5;8;21,5;1;0;1;0;0;0;1;0;0;0;0;0
266;2;6;3;2,5;2;10,5;1;0;1;0;0;0;0;0;0;0;1;0
267;7;2;8;5;6;13;1;0;0;1;0;1;1;0;0;0;0;0
268;5;4;7;7,5;4;15,5;1;0;1;0;0;0;0;0;0;0;1;0
269;5;8;8;2,5;8;18,5;1;0;0;1;0;0;1;0;0;1;0;0
270;3;6;7;2,5;1;9,5;1;0;0;1;0;0;1;1;1;1;0;0
271;6;4;7;5;7;16;0;1;0;0;0;0;0;0;0;0;0;0
272;5;6;10;2,5;10;18,5;0;0;1;0;0;0;1;0;0;0;0;0
273;1;4;1;7,5;5;16,5;0;0;1;0;0;1;0;0;0;0;0;0
274;6;6;10;0;3;9;1;0;0;0;1;0;0;0;1;0;0;0
275;6;8;7;10;8;26;0;0;1;0;0;1;1;0;0;0;0;0
276;1;6;1;2,5;10;18,5;0;0;0;1;0;0;0;1;1;1;0;0
277;5;4;7;10;5;19;1;0;1;0;0;0;1;0;0;1;0;0
278;3;2;4;5;5;12;0;0;1;0;0;0;1;0;0;0;0;0
279;5;4;5;7,5;1;12,5;0;0;0;1;0;1;0;0;1;1;0;0
280;8;8;10;7,5;10;25,5;1;0;0;1;0;0;1;1;1;0;0;0
281;1;6;1;10;1;17;1;0;1;0;0;0;1;0;0;0;1;0
282;3;8;8;2,5;3;13,5;1;0;1;0;0;0;1;0;0;1;0;0
283;4;8;7;10;10;28;1;0;1;0;0;0;1;0;0;0;0;1
284;7;2;5;10;1;13;1;0;1;0;0;1;0;0;0;0;0;0
285;5;8;7;10;10;28;1;0;0;1;0;1;0;1;1;0;0;0
286;2;8;5;5;1;14;0;0;0;1;0;0;0;1;1;1;0;0
287;5;8;5;7,5;5;20,5;1;0;0;1;0;1;1;0;0;0;0;0
288;8;6;8;7,5;6;19,5;1;0;0;1;0;1;0;1;1;0;0;0
289;3;6;8;5;5;16;0;0;1;0;0;0;1;0;0;1;0;0
290;6;8;8;7,5;6;21,5;1;0;0;1;0;1;1;0;0;0;0;0
291;6;4;8;5;9;18;1;0;0;1;0;1;1;0;0;0;0;0
292;8;6;10;10;10;26;1;0;0;0;1;0;1;1;1;1;0;1
293;4;4;5;5;5;14;1;0;1;0;0;1;0;0;0;1;0;0
294;1;6;5;7,5;10;23,5;1;0;0;1;0;1;0;1;1;0;0;0
295;5;4;7;7,5;3;14,5;0;0;0;1;0;1;1;1;1;0;0;0
296;1;8;1;10;1;19;1;0;1;0;0;1;1;0;0;0;1;0
297;4;4;6;5;5;14;1;0;1;0;0;1;1;0;0;1;0;0
298;3;4;8;5;3;12;1;0;1;0;0;1;1;0;0;0;0;0
